,0,1,2,3,4,5,6,7,8,9,10,11
117,Efna1,Slc51b,Kyat1,Igfbp4,Srsf2,Dnajb5,Pi16,Dnmt1,Tspan33,Emp1,Tubb4a,Ptp4a3
118,Pls1,Irf7,Trpv3,Kcnj8,Dek,Sdc3,Tppp3,Mad2l1,Myc,Cdh17,Disp2,AU020206
119,Cdkn2b,Ifit1bl1,Lmo7,Igfbp5,Asph,Serping1,Tnni1,Pclaf,Stab1,Jchain,Mapk8ip2,Gimap3
120,Mgam2-ps,Rhob,Gprc5a,Asb2,2410006H16Rik,Pyy,Hspg2,Asph,Rcc2,Eps8l2,Etv1,Pla2g7
121,Chga,Cpn1,Egln3,Pln,Pclaf,Rgs2,Marveld1,Wnk4,C1qc,Rhob,Cryab,Rnase6
122,Il15,Rasef,Pls1,Rcn3,Defb37,Pdlim4,Tgm3,Sox9,Srsf2,Nxpe4,Hspb8,Rassf5
123,Gda,Mal,Acox1,Ptprs,Maged1,Dact3,Slc2a4,Nanp,Fcer1g,Cald1,Timp2,Il10ra
124,Slc9a3,Abcb1a,Apoc2,Cspg4,1810065E05Rik,Gas1,Htra3,Myc,Apobec3,Tnni1,Mgp,Evi2a
125,Eps8l2,Slc3a1,Hpgd,Aqp1,Car12,Plekho1,Loxl1,Knstrn,Bst2,Ifngr1,Phox2b,Cd72
126,Mep1b,Ggh,Myo15b,Txndc5,Gm42031,Serpine2,Anxa6,Cpsf6,Aqp4,Dmpk,Vip,Cfp
127,Ggt1,AW112010,Ipmk,Hspb8,Pbk,Fibin,Ppp1r12b,Brd8,Eef1e1,Synpo2,Cbarp,Pxdc1
128,Lhfpl2,Neu1,Eps8l2,Cavin3,Kcnn4,Timp2,Pdlim4,Racgap1,Htr4,Ipmk,Pcp4,Mpeg1
129,Adamdec1,Tmem140,2310079G19Rik,Actn1,Cftr,Sparc,Hoxb5os,Cdca7,2510046G10Rik,Uchl1,Caly,Fgd2
130,Stk17b,2610528A11Rik,St3gal6,Ldhb,Nts,Gm11946,Eln,Col8a1,St6galnac2,Adh1,Ckb,Cyth4
131,Rnase4,H2-Q2,Mep1b,Pcolce,Chka,Adcy5,Mxra8,2410006H16Rik,Rgcc,Retnlb,Slc18a3,Fcrla
132,Iqgap2,Muc3a,2610528A11Rik,Bgn,Pgm3,Tnxb,Cavin2,Aqp1,Utrn,Abcg2,Ptn,Blk
